program_id,K,vars,spills,spill_cost_sum
cfg23_pressure_loop_high.txt,2,10,8,120
cfg23_pressure_loop_high.txt,3,10,7,90
cfg23_pressure_loop_high.txt,4,10,6,62
cfg23_pressure_loop_high.txt,5,10,5,34
cfg24_double_merge_high.txt,1,11,7,292
cfg24_double_merge_high.txt,2,11,5,244
cfg24_double_merge_high.txt,3,11,4,164
cfg24_double_merge_high.txt,4,11,2,84
cfg24_double_merge_high.txt,5,11,1,24
cfg25_branch_pressure_high.txt,1,16,12,264
cfg25_branch_pressure_high.txt,2,16,11,184
cfg25_branch_pressure_high.txt,3,16,10,124
cfg25_branch_pressure_high.txt,4,16,6,98
cfg25_branch_pressure_high.txt,5,16,3,74
cfg26_two_level_loop_high.txt,1,7,6,159
cfg26_two_level_loop_high.txt,2,7,5,96
cfg26_two_level_loop_high.txt,3,7,4,52
cfg26_two_level_loop_high.txt,4,7,3,14
cfg26_two_level_loop_high.txt,5,7,2,4
cfg27_fanout_then_merge_high.txt,1,14,11,207
cfg27_fanout_then_merge_high.txt,2,14,10,135
cfg27_fanout_then_merge_high.txt,3,14,7,89
cfg27_fanout_then_merge_high.txt,4,14,6,44
cfg27_fanout_then_merge_high.txt,5,14,3,22
cfg28_loop_with_branch_high.txt,1,8,7,196
cfg28_loop_with_branch_high.txt,2,8,6,152
cfg28_loop_with_branch_high.txt,3,8,5,108
cfg28_loop_with_branch_high.txt,4,8,4,66
cfg28_loop_with_branch_high.txt,5,8,2,28
cfg29_many_defs_late_use_high.txt,1,16,15,96
cfg29_many_defs_late_use_high.txt,2,16,14,87
cfg29_many_defs_late_use_high.txt,3,16,10,58
cfg29_many_defs_late_use_high.txt,4,16,7,42
cfg29_many_defs_late_use_high.txt,5,16,5,32
cfg30_branch_loop_stress_high.txt,1,9,8,214
cfg30_branch_loop_stress_high.txt,2,9,7,168
cfg30_branch_loop_stress_high.txt,3,9,6,122
cfg30_branch_loop_stress_high.txt,4,9,5,78
cfg30_branch_loop_stress_high.txt,5,9,3,48
p01_chain.c,1,6,2,4
p01_chain.c,2,6,0,0
p01_chain.c,3,6,0,0
p01_chain.c,4,6,0,0
p01_chain.c,5,6,0,0
p02_many_temps.c,1,7,5,16
p02_many_temps.c,2,7,3,9
p02_many_temps.c,3,7,1,3
p02_many_temps.c,4,7,0,0
p02_many_temps.c,5,7,0,0
p03_reuse_heavy.c,1,6,4,14
p03_reuse_heavy.c,2,6,3,9
p03_reuse_heavy.c,3,6,2,5
p03_reuse_heavy.c,4,6,1,2
p03_reuse_heavy.c,5,6,0,0
p04_two_long_lived.c,1,8,6,32
p04_two_long_lived.c,2,8,5,11
p04_two_long_lived.c,3,8,1,2
p04_two_long_lived.c,4,8,0,0
p04_two_long_lived.c,5,8,0,0
p05_branch_merge.c,1,3,1,2
p05_branch_merge.c,2,3,0,0
p05_branch_merge.c,3,3,0,0
p05_branch_merge.c,4,3,0,0
p05_branch_merge.c,5,3,0,0
p06_pressure_peak.c,1,8,5,42
p06_pressure_peak.c,2,8,4,24
p06_pressure_peak.c,3,8,3,9
p06_pressure_peak.c,4,8,2,5
p06_pressure_peak.c,5,8,1,2
p07_short.c,1,3,1,2
p07_short.c,2,3,0,0
p07_short.c,3,3,0,0
p07_short.c,4,3,0,0
p07_short.c,5,3,0,0
p08_independant.c,1,5,2,6
p08_independant.c,2,5,1,3
p08_independant.c,3,5,0,0
p08_independant.c,4,5,0,0
p08_independant.c,5,5,0,0
p09_diamond_linear.c,1,5,2,8
p09_diamond_linear.c,2,5,0,0
p09_diamond_linear.c,3,5,0,0
p09_diamond_linear.c,4,5,0,0
p09_diamond_linear.c,5,5,0,0
p10_balanced.c,1,6,3,16
p10_balanced.c,2,6,1,6
p10_balanced.c,3,6,0,0
p10_balanced.c,4,6,0,0
p10_balanced.c,5,6,0,0
p11_heavy_end.c,1,7,5,42
p11_heavy_end.c,2,7,4,24
p11_heavy_end.c,3,7,3,9
p11_heavy_end.c,4,7,2,5
p11_heavy_end.c,5,7,1,2
p12_fanin.c,1,7,4,14
p12_fanin.c,2,7,3,9
p12_fanin.c,3,7,2,5
p12_fanin.c,4,7,1,2
p12_fanin.c,5,7,0,0
p13_two_chains_join.c,1,8,5,19
p13_two_chains_join.c,2,8,3,12
p13_two_chains_join.c,3,8,1,2
p13_two_chains_join.c,4,8,0,0
p13_two_chains_join.c,5,8,0,0
p14_cross_reuse.c,1,7,5,25
p14_cross_reuse.c,2,7,4,15
p14_cross_reuse.c,3,7,1,3
p14_cross_reuse.c,4,7,0,0
p14_cross_reuse.c,5,7,0,0
p15_mid_pressure.c,1,6,4,21
p15_mid_pressure.c,2,6,2,11
p15_mid_pressure.c,3,6,1,3
p15_mid_pressure.c,4,6,0,0
p15_mid_pressure.c,5,6,0,0
p16_wide_live.c,1,8,5,35
p16_wide_live.c,2,8,4,23
p16_wide_live.c,3,8,3,13
p16_wide_live.c,4,8,2,5
p16_wide_live.c,5,8,1,2
p17_alt_chain.c,1,6,4,16
p17_alt_chain.c,2,6,1,2
p17_alt_chain.c,3,6,0,0
p17_alt_chain.c,4,6,0,0
p17_alt_chain.c,5,6,0,0
p18_cheap_spill.c,1,7,4,13
p18_cheap_spill.c,2,7,2,6
p18_cheap_spill.c,3,7,0,0
p18_cheap_spill.c,4,7,0,0
p18_cheap_spill.c,5,7,0,0
p19_pressure10.c,1,11,8,86
p19_pressure10.c,2,11,7,68
p19_pressure10.c,3,11,6,52
p19_pressure10.c,4,11,5,38
p19_pressure10.c,5,11,4,26
p20_mul_chain.c,1,5,2,4
p20_mul_chain.c,2,5,0,0
