program_id,var,degree,use_count,use_instr_count,live_range,spill_cost,K,label
cfg06_loop_with_hot.txt,i,4,2,2,10,22,2,1
cfg06_loop_with_hot.txt,sum,3,2,2,10,22,2,1
cfg06_loop_with_hot.txt,x,3,1,1,1,2,2,0
cfg06_loop_with_hot.txt,hot,3,1,1,9,10,3,1
cfg06_loop_with_hot.txt,i,4,2,2,10,22,3,1
cfg06_loop_with_hot.txt,sum,3,2,2,10,22,3,1
cfg06_loop_with_hot.txt,x,3,1,1,1,2,3,0
cfg06_loop_with_hot.txt,hot,3,1,1,9,10,4,1
cfg06_loop_with_hot.txt,i,4,2,2,10,22,4,1
cfg06_loop_with_hot.txt,sum,3,2,2,10,22,4,1
cfg06_loop_with_hot.txt,x,3,1,1,1,2,4,1
cfg06_loop_with_hot.txt,hot,3,1,1,9,10,5,1
cfg06_loop_with_hot.txt,i,4,2,2,10,22,5,1
cfg06_loop_with_hot.txt,sum,3,2,2,10,22,5,1
cfg06_loop_with_hot.txt,x,3,1,1,1,2,5,1
cfg07_if_else_reuse.txt,hot,2,5,5,9,50,1,0
cfg07_if_else_reuse.txt,t0,3,2,2,11,24,1,1
cfg07_if_else_reuse.txt,x,2,2,2,5,12,1,0
cfg07_if_else_reuse.txt,y,1,1,1,7,8,1,0
cfg07_if_else_reuse.txt,z,0,1,1,1,2,1,1
cfg07_if_else_reuse.txt,hot,2,5,5,9,50,2,1
cfg07_if_else_reuse.txt,t0,3,2,2,11,24,2,1
cfg07_if_else_reuse.txt,x,2,2,2,5,12,2,0
cfg07_if_else_reuse.txt,y,1,1,1,7,8,2,1
cfg07_if_else_reuse.txt,z,0,1,1,1,2,2,1
cfg07_if_else_reuse.txt,hot,2,5,5,9,50,3,1
cfg07_if_else_reuse.txt,t0,3,2,2,11,24,3,1
cfg07_if_else_reuse.txt,x,2,2,2,5,12,3,1
cfg07_if_else_reuse.txt,y,1,1,1,7,8,3,1
cfg07_if_else_reuse.txt,z,0,1,1,1,2,3,1
cfg07_if_else_reuse.txt,hot,2,5,5,9,50,4,1
cfg07_if_else_reuse.txt,t0,3,2,2,11,24,4,1
cfg07_if_else_reuse.txt,x,2,2,2,5,12,4,1
cfg07_if_else_reuse.txt,y,1,1,1,7,8,4,1
cfg07_if_else_reuse.txt,z,0,1,1,1,2,4,1
cfg07_if_else_reuse.txt,hot,2,5,5,9,50,5,1
cfg07_if_else_reuse.txt,t0,3,2,2,11,24,5,1
cfg07_if_else_reuse.txt,x,2,2,2,5,12,5,1
cfg07_if_else_reuse.txt,y,1,1,1,7,8,5,1
cfg07_if_else_reuse.txt,z,0,1,1,1,2,5,1
cfg08_loop_two_vars.txt,acc,2,2,2,10,22,1,0
cfg08_loop_two_vars.txt,i,3,2,2,10,22,1,1
cfg08_loop_two_vars.txt,j,2,2,2,9,20,1,0
cfg08_loop_two_vars.txt,acc,2,2,2,10,22,2,1
